[2025-11-11 01:35:34] [INFO    ] discord.client: logging in using static token
[2025-11-11 01:35:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-11 01:35:34] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-11 01:35:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1436807534810759168', 'username': 'Friend Replacement Bot', 'avatar': '18facdc01aa5bc1b89e960fda35d60d0', 'discriminator': '8477', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-11 01:35:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-11 01:35:34] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-11 01:35:34] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1436807534810759168', 'name': 'Friend Replacement Bot', 'icon': '18facdc01aa5bc1b89e960fda35d60d0', 'description': 'Friends can’t always be there when you need them—but don’t worry! When humans fall short, technology steps up. The Friend Replacement Bot is designed to fill the void in your heart, one feature at a time, until you can finally say: “Who needs real friends when I have a perfect digital one?”', 'type': None, 'bot': {'id': '1436807534810759168', 'username': 'Friend Replacement Bot', 'avatar': '18facdc01aa5bc1b89e960fda35d60d0', 'discriminator': '8477', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '48158643b8ab84a01ec35cbf72f6524bb582a496fbd48d03e82857424ec7d20f', 'flags': 8953856, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1437687864623235173', 'username': 'team1437687864623235173', 'avatar': None, 'discriminator': '0000', 'public_flags': 1024, 'flags': 1024, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123806, 'monetization_eligibility_flags': 247526, 'bot_approximate_guild_count': 2, 'team': {'id': '1437687864623235173', 'icon': 'cbef4c298632ba95bfddb81031e5aee2', 'name': 'Self Produced Madness', 'owner_user_id': '363876853380939776', 'members': [{'user': {'id': '363876853380939776', 'username': 'tigerborn', 'avatar': '83d883d7fcd8fbfb9e13bd618baa9d65', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': None, 'global_name': 'Tigerborn', 'avatar_decoration_data': None, 'collectibles': {'nameplate': {'sku_id': '1377377712078848180', 'asset': 'nameplates/nameplates_v2/glitch/', 'label': 'COLLECTIBLES_NAMEPLATES_V2_GLITCH_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'team_id': '1437687864623235173', 'membership_state': 2, 'role': 'admin', 'permissions': ['*']}]}, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-11 01:35:34] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-11 01:35:34] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-qwlr",{"micros":0.0}]']}}
[2025-11-11 01:35:34] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-11 01:35:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-11 01:35:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Friend Replacement Bot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1436807534810759168', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8477', 'clan': None, 'bot': True, 'avatar': '18facdc01aa5bc1b89e960fda35d60d0'}, 'session_type': 'normal', 'session_id': 'e9e5f7a80a1033f8ebfd307a3bbc3a43', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1025497829646549092'}, {'unavailable': True, 'id': '1086077024373850243'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'atlanta', 'us-central', 'us-east', 'us-west'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1436807534810759168', 'flags': 8953856}, '_trace': ['["gateway-prd-arm-us-east1-c-qwlr",{"micros":162458,"calls":["id_created",{"micros":354,"calls":[]},"session_lookup_time",{"micros":221,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"discord-sessions-prd-2-86",{"micros":161557,"calls":["start_session",{"micros":105608,"calls":["discord-api-rpc-5b95bfdbcf-gtkg9",{"micros":35068,"calls":["get_user",{"micros":5738},"get_guilds",{"micros":2686},"send_scheduled_deletion_message",{"micros":18},"guild_join_requests",{"micros":676},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":59444},"apex_experiments",{"micros":4099},"user_activities",{"micros":6},"played_application_ids",{"micros":4},"linked_users",{"micros":3}]}]},"starting_guild_connect",{"micros":51,"calls":[]},"presence_started",{"micros":40484,"calls":[]},"guilds_started",{"micros":101,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15290,"calls":[]},"connect_finished",{"micros":15297,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-11 01:35:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-11 01:35:35] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: e9e5f7a80a1033f8ebfd307a3bbc3a43).
[2025-11-11 01:35:35] [DEBUG   ] discord.client: Dispatching event connect
